LF_hip_tau_ff,LF_thigh_tau_ff,LF_calf_tau_ff,RF_hip_tau_ff,RF_thigh_tau_ff,RF_calf_tau_ff,LR_hip_tau_ff,LR_thigh_tau_ff,LR_calf_tau_ff,RR_hip_tau_ff,RR_thigh_tau_ff,RR_calf_tau_ff,LF_hip_tau_actual,LF_thigh_tau_actual,LF_calf_tau_actual,RF_hip_tau_actual,RF_thigh_tau_actual,RF_calf_tau_actual,LR_hip_tau_actual,LR_thigh_tau_actual,LR_calf_tau_actual,RR_hip_tau_actual,RR_thigh_tau_actual,RR_calf_tau_actual,LF_hip_q_des,LF_thigh_q_des,LF_calf_q_des,RF_hip_q_des,RF_thigh_q_des,RF_calf_q_des,LR_hip_q_des,LR_thigh_q_des,LR_calf_q_des,RR_hip_q_des,RR_thigh_q_des,RR_calf_q_des,LF_hip_q,LF_thigh_q,LF_calf_q,RF_hip_q,RF_thigh_q,RF_calf_q,LR_hip_q,LR_thigh_q,LR_calf_q,RR_hip_q,RR_thigh_q,RR_calf_q,LF_hip_qd_des,LF_thigh_qd_des,LF_calf_qd_des,RF_hip_qd_des,RF_thigh_qd_des,RF_calf_qd_des,LR_hip_qd_des,LR_thigh_qd_des,LR_calf_qd_des,RR_hip_qd_des,RR_thigh_qd_des,RR_calf_qd_des,LF_hip_qd,LF_thigh_qd,LF_calf_qd,RF_hip_qd,RF_thigh_qd,RF_calf_qd,LR_hip_qd,LR_thigh_qd,LR_calf_qd,RR_hip_qd,RR_thigh_qd,RR_calf_qd
0,0,0,0,0,0,0,0,0,0,0,0,-0.553384,-1.11436,-10.41,0.395339,-0.502577,-10.425,-3.55817,1.86379,-11.7037,3.26185,2.4664,-10.1607,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.0334818,-0.792385,1.65802,-0.0318008,-0.792196,1.65668,0.0460884,-0.788567,1.67659,-0.0446892,-0.788276,1.67496,0,0,0,0,0,0,0,0,0,0,0,0,0.0979562,-0.0320962,-0.031581,0.0603258,0.00924184,-0.0782809,0.0844676,0.001709,-0.0752422,0.0400071,0.0591233,-0.150301
0,0,0,0,0,0,0,0,0,0,0,0,-0.558521,-1.16701,-10.348,0.409277,-0.556738,-10.3635,-3.55666,1.78495,-11.6066,3.2686,2.391,-10.0733,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.0336689,-0.792251,1.65774,-0.0317408,-0.791984,1.65633,0.0462293,-0.788278,1.6761,-0.0446425,-0.787897,1.67437,0,0,0,0,0,0,0,0,0,0,0,0,0.0935763,0.066962,-0.138974,0.0299883,0.105779,-0.178446,0.0704617,0.144164,-0.244441,0.0233701,0.18964,-0.29492
0,0,0,0,0,0,0,0,0,0,0,0,-0.561945,-1.22055,-10.286,0.422647,-0.611353,-10.3027,-3.55388,1.70507,-11.5073,3.27552,2.31436,-9.98333,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.0338432,-0.791937,1.65727,-0.0317335,-0.791598,1.65579,0.0463414,-0.787731,1.6753,-0.0446259,-0.78728,1.67351,0,0,0,0,0,0,0,0,0,0,0,0,0.0871162,0.157282,-0.235637,0.00368152,0.193176,-0.267554,0.0560343,0.273558,-0.399685,0.00826108,0.308698,-0.429
0,0,0,0,0,0,0,0,0,0,0,0,-0.563942,-1.27515,-10.2235,0.435579,-0.666642,-10.2421,-3.55003,1.62396,-11.4057,3.28257,2.23631,-9.89055,0.016497,-0.83182,1.31256,-0.0171528,-0.8106,1.30993,-0.0710591,-0.72904,1.28845,0.0649309,-0.707591,1.33667,0.0340016,-0.791456,1.65662,-0.0317718,-0.791052,1.6551,0.0464244,-0.786948,1.67421,-0.0446368,-0.786444,1.6724,0,0,0,0,0,0,0,0,0,0,0,0,0.0792376,0.240016,-0.32341,-0.0191787,0.272733,-0.34763,0.0415244,0.391485,-0.542635,-0.00541762,0.417687,-0.553725
0,0,0,0,0,0,0,0,0,0,0,0,-0.564757,-1.33092,-10.1602,0.44816,-0.722784,-10.1812,-3.54527,1.54151,-11.3017,3.28974,2.15675,-9.79497,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.0341426,-0.790824,1.65582,-0.0318499,-0.790361,1.65425,0.0464788,-0.78595,1.67286,-0.0446722,-0.785409,1.67106,0,0,0,0,0,0,0,0,0,0,0,0,0.070467,0.316111,-0.403827,-0.0390544,0.345515,-0.420359,0.0272029,0.499241,-0.674673,-0.0177421,0.517728,-0.670078
0,0,0,0,0,0,0,0,0,0,0,0,-0.51489,-2.07519,-9.76279,0.90415,-0.886744,-9.71935,-3.95974,1.50835,-12.2571,3.59408,2.74065,-10.9693,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.034317,-0.790054,1.65492,-0.0319052,-0.789513,1.65332,0.0465459,-0.784684,1.6712,-0.0446894,-0.784081,1.66939,0,0,0,0,0,0,0,0,0,0,0,0,0.0872364,0.384897,-0.446373,-0.0276138,0.423886,-0.468362,0.0335189,0.63315,-0.830563,-0.00860002,0.663811,-0.836489
0,0,0,0,0,0,0,0,0,0,0,0,-0.528509,-2.13267,-9.71473,0.900087,-0.951363,-9.66725,-3.96491,1.40341,-12.1293,3.59003,2.62778,-10.8359,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.03452,-0.789155,1.65395,-0.031939,-0.78852,1.65229,0.0466219,-0.783171,1.66925,-0.0446899,-0.782485,1.66741,0,0,0,0,0,0,0,0,0,0,0,0,0.101476,0.449804,-0.486745,-0.0169221,0.496956,-0.512826,0.0380025,0.756525,-0.97497,-0.000240937,0.798188,-0.990583
0,0,0,0,0,0,0,0,0,0,0,0,-0.541717,-2.19212,-9.66534,0.895756,-1.01772,-9.61425,-3.96943,1.29633,-11.9986,3.58586,2.5127,-10.6994,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.0347468,-0.788133,1.6529,-0.0319532,-0.787389,1.65118,0.0467035,-0.78143,1.66703,-0.0446755,-0.780641,1.66514,0,0,0,0,0,0,0,0,0,0,0,0,0.113427,0.511091,-0.525588,-0.00708333,0.565176,-0.554516,0.0408116,0.870236,-1.10902,0.00722568,0.921859,-1.13349
0,0,0,0,0,0,0,0,0,0,0,0,-0.554498,-2.25343,-9.61439,0.891262,-1.08574,-9.56013,-3.97328,1.18726,-11.8651,3.5817,2.39555,-10.5599,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.0349934,-0.786995,1.65177,-0.0319495,-0.786131,1.65,0.0467877,-0.77948,1.66457,-0.044648,-0.77857,1.66261,0,0,0,0,0,0,0,0,0,0,0,0,0.123298,0.568966,-0.563421,0.0018357,0.628912,-0.59406,0.0420899,0.974998,-1.23368,0.0137301,1.03565,-1.26617
0,0,0,0,0,0,0,0,0,0,0,0,-0.566832,-2.3165,-9.56166,0.886692,-1.15534,-9.50471,-3.97645,1.07638,-11.7287,3.57762,2.27652,-10.4176,0.018154,-0.854729,1.32366,-0.00236249,-0.814161,1.32327,-0.085059,-0.727351,1.25305,0.0748348,-0.685425,1.29425,0.035256,-0.785748,1.65057,-0.0319299,-0.784754,1.64873,0.0468716,-0.777337,1.66187,-0.0446096,-0.776289,1.65983,0,0,0,0,0,0,0,0,0,0,0,0,0.131272,0.623591,-0.600664,0.00979922,0.688464,-0.63198,0.0419686,1.0714,-1.34972,0.0192335,1.14022,-1.38943
